17:36:50:607	via107: Speed3000, CNT90 via137: Speed3000, CNT100 via108: Speed100, CNT100 via109: Speed3000, CNT30 via111: Speed3000, CNT0  
17:36:50:607	Considering adjustments from via107 to via111
17:36:50:607	Collisions ignored on 73064-01-R_2t,via107,via111,via111
17:39:26:704	
17:39:26:704	Applied via109: Speed3000, CNT20, 
17:39:26:704	score: 1705143.89851013, time: 7.26000000000001, intersecting frames: 6
17:39:26:704	via107: Speed3000, CNT90 via137: Speed3000, CNT100 via108: Speed100, CNT100 via109: Speed3000, CNT20 via111: Speed3000, CNT0  
17:39:26:704	Considering adjustments from via107 to via111
17:39:26:704	Collisions ignored on 73064-01-R_2t,via107,via111,via111
17:42:03:763	
17:42:03:763	Applied via109: Speed3000, CNT10, 
17:42:03:763	score: 1705143.89850859, time: 7.31600000000001, intersecting frames: 6
17:42:03:763	via107: Speed3000, CNT90 via137: Speed3000, CNT100 via108: Speed100, CNT100 via109: Speed3000, CNT10 via111: Speed3000, CNT0  
17:42:03:763	Considering adjustments from via107 to via111
17:42:03:763	Collisions ignored on 73064-01-R_2t,via107,via111,via111
17:44:43:591	
17:44:43:591	Applied via109: Speed3000, CNT0, 
17:44:43:591	score: 1705143.89850833, time: 7.39600000000001, intersecting frames: 6
17:44:43:591	via107: Speed3000, CNT90 via137: Speed3000, CNT100 via108: Speed100, CNT100 via109: Speed3000, CNT0 via111: Speed3000, CNT0  
17:44:43:591	Considering adjustments from via107 to via111
17:44:43:591	Collisions ignored on 73064-01-R_2t,via107,via111,via111
17:47:05:635	
17:47:05:635	Applied via107: Speed2800, CNT90, 
17:47:05:635	score: 1705143.89850536, time: 7.39600000000001, intersecting frames: 6
17:47:05:635	Speed skip on via107
17:49:09:363	Stepped down to 1600
17:49:09:363	via107: Speed1600, CNT90 via137: Speed3000, CNT100 via108: Speed100, CNT100 via109: Speed3000, CNT0 via111: Speed3000, CNT0  
17:49:09:363	Considering adjustments from via107 to via111
17:49:09:363	Collisions ignored on 73064-01-R_2t,via107,via111,via111
17:51:31:648	
17:51:31:648	Applied via107: Speed1600, CNT80, 
17:51:31:648	score: 1704677.58897241, time: 7.43600000000001, intersecting frames: 6
17:51:31:648	via107: Speed1600, CNT80 via137: Speed3000, CNT100 via108: Speed100, CNT100 via109: Speed3000, CNT0 via111: Speed3000, CNT0  
17:51:31:648	Considering adjustments from via107 to via111
17:51:31:648	Collisions ignored on 73064-01-R_2t,via107,via111,via111
17:53:55:280	
17:53:55:280	Applied via137: Speed2800, CNT100, 
17:53:55:280	score: 1704677.58896928, time: 7.43600000000001, intersecting frames: 6
17:53:55:280	Speed skip on via137
17:55:06:407	Stepped down to 2200
17:55:06:407	via107: Speed1600, CNT80 via137: Speed2200, CNT100 via108: Speed100, CNT100 via109: Speed3000, CNT0 via111: Speed3000, CNT0  
17:55:06:407	Considering adjustments from via107 to via111
17:55:06:407	Collisions ignored on 73064-01-R_2t,via107,via111,via111
17:57:29:145	Considering adjustments from via107 to via111
17:57:29:145	Collisions ignored on 73064-01-R_2t,via107,via111,via111
17:59:52:606	Forced score increase
17:59:52:606	
17:59:52:606	Applied via107: Speed1600, CNT60, 
17:59:52:606	score: 2073686.39802293, time: 7.50800000000001, intersecting frames: 7
17:59:52:606	via107: Speed1600, CNT60 via137: Speed2200, CNT100 via108: Speed100, CNT100 via109: Speed3000, CNT0 via111: Speed3000, CNT0  
17:59:52:606	Considering adjustments from via107 to via111
17:59:52:606	Collisions ignored on 73064-01-R_2t,via107,via111,via111
18:02:16:323	
18:02:16:323	Applied via107: Speed1400, CNT60, 
18:02:16:323	score: 1708883.00470918, time: 7.51600000000001, intersecting frames: 6
18:02:16:323	via107: Speed1400, CNT60 via137: Speed2200, CNT100 via108: Speed100, CNT100 via109: Speed3000, CNT0 via111: Speed3000, CNT0  
18:02:16:323	Considering adjustments from via107 to via111
18:02:16:323	Collisions ignored on 73064-01-R_2t,via107,via111,via111
18:04:41:676	
18:04:41:676	Applied via109: Speed2800, CNT0, 
18:04:41:676	score: 1708883.00470431, time: 7.51600000000001, intersecting frames: 6
18:04:41:676	Speed skip on via109
18:08:18:069	Stepped down to 600
18:08:18:069	via107: Speed1400, CNT60 via137: Speed2200, CNT100 via108: Speed100, CNT100 via109: Speed600, CNT0 via111: Speed3000, CNT0  
18:08:18:069	Considering adjustments from via107 to via111
18:08:18:069	Collisions ignored on 73064-01-R_2t,via107,via111,via111
18:10:42:502	
18:10:42:502	Applied via109: Speed400, CNT0, 
18:10:42:502	score: 1708883.00469602, time: 7.70800000000001, intersecting frames: 6
18:10:42:502	via107: Speed1400, CNT60 via137: Speed2200, CNT100 via108: Speed100, CNT100 via109: Speed400, CNT0 via111: Speed3000, CNT0  
18:10:42:502	Considering adjustments from via107 to via111
18:10:42:502	Collisions ignored on 73064-01-R_2t,via107,via111,via111
18:13:10:142	
